City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
483,esperance,75,AU,1568783337,68,-33.86,121.89,68.0,9.17
484,barra patuca,18,HN,1568783337,78,15.8,-84.28,83.93,9.37
485,sri aman,75,MY,1568783337,55,1.24,111.46,91.4,5.82
486,shaoyang,96,CN,1568783337,73,27.23,111.45,70.79,6.76
487,lisala,100,CD,1568783338,97,2.15,21.52,73.13,2.08
488,tazovskiy,42,RU,1568783338,82,67.47,78.7,43.97,6.91
489,cururupu,11,BR,1568783338,89,-1.82,-44.87,74.75,4.63
490,abu samrah,0,SY,1568783338,42,35.3,37.18,75.65,3.31
491,vostok,98,RU,1568783338,90,46.45,135.83,40.19,13.2
492,geraldton,90,CA,1568783338,93,49.72,-86.95,62.6,6.93
493,talcahuano,0,CL,1568783338,93,-36.72,-73.12,48.2,10.29
494,westerland,90,NL,1568783339,54,52.89,4.93,57.2,9.17
495,dimbokro,91,CI,1568783339,94,6.65,-4.7,71.15,2.66
496,srednekolymsk,97,RU,1568783339,65,67.46,153.71,53.87,5.93
497,grindavik,90,IS,1568783339,87,63.84,-22.43,44.6,20.8
498,vung tau,95,VN,1568783339,82,10.35,107.08,83.21,14.12
499,chalus,75,IR,1568783333,78,36.66,51.42,75.2,4.7
500,scarborough,20,GB,1568783339,93,54.28,-0.41,46.0,3.36
501,bathsheba,40,BB,1568783340,78,13.22,-59.52,82.4,14.99
502,nyurba,0,RU,1568783349,43,63.29,118.35,44.15,4.21
503,bubaque,84,GW,1568783349,78,11.28,-15.83,80.69,9.55
504,mariental,90,BR,1568783349,100,-25.72,-49.65,61.0,4.7
505,caetite,1,BR,1568783349,94,-14.07,-42.48,60.53,7.72
506,araguaina,80,BR,1568783104,39,-7.19,-48.21,84.65,7.2
507,poum,20,MK,1568783349,87,41.28,20.71,46.4,4.7
508,dobris,20,CZ,1568783350,70,49.78,14.17,46.99,8.05
509,santa isabel,1,MX,1568783350,14,32.63,-115.58,87.8,23.04
510,lai,100,CN,1568783350,96,27.82,91.75,37.49,7.78
511,kangaatsiaq,0,GL,1568783350,73,68.31,-53.46,32.27,13.8
512,vanavara,79,RU,1568783350,80,60.35,102.28,57.11,5.82
513,sahuaripa,0,MX,1568783350,71,29.05,-109.23,72.23,1.45
514,axim,96,GH,1568783350,89,4.87,-2.24,76.01,9.51
515,kondopoga,75,RU,1568783351,81,62.21,34.27,44.6,11.18
516,sedniv,92,UA,1568783351,90,51.64,31.56,47.75,13.24
517,villarrica,40,CL,1568783351,93,-39.28,-72.23,44.6,4.7
518,arizona,95,BR,1568783351,99,-28.39,-49.38,58.91,2.98
519,juneau,20,US,1568783351,81,58.3,-134.42,55.0,3.36
520,anloga,40,GH,1568783351,94,5.79,0.9,75.2,1.12
521,warri,97,NG,1568783261,89,5.52,5.75,76.91,6.67
522,umm lajj,70,SA,1568783351,74,25.02,37.27,84.83,17.05
523,ramsar,40,IR,1568783352,83,36.92,50.64,75.2,5.84
524,correntina,7,BR,1568783352,40,-13.34,-44.63,59.27,1.9
525,dolores,0,UY,1568783352,69,-33.53,-58.22,51.01,4.0
526,presidencia roque saenz pena,33,AR,1568783289,66,-26.79,-60.44,52.61,4.94
527,chicama,90,PE,1568783305,87,-7.84,-79.15,60.8,8.05
528,ucluelet,27,CA,1568783352,95,48.94,-125.55,55.0,9.13
529,omsukchan,26,RU,1568783352,54,62.53,155.8,43.97,6.08
530,lardos,0,GR,1568783352,78,36.09,28.02,71.6,8.05
531,qingdao,0,CN,1568783353,22,36.09,120.35,78.8,17.9
532,palu,83,ID,1568783353,68,-0.9,119.87,84.29,5.95
533,pirganj,66,BD,1568783353,66,25.85,88.36,88.79,5.95
534,oskarshamn,0,SE,1568783353,87,57.26,16.44,46.0,9.17
535,tortoli,20,IT,1568783353,94,39.93,9.66,73.4,12.75
536,chumikan,100,RU,1568783353,96,54.72,135.31,36.95,11.01
537,kalur kot,0,PK,1568783353,27,32.16,71.27,95.99,6.06
538,ojinaga,1,US,1568783354,47,29.56,-104.41,80.6,3.36
539,batemans bay,50,AU,1568783333,68,-35.71,150.18,62.01,8.99
540,gidole,0,ET,1568783354,36,5.65,37.37,81.95,5.66
541,terme,0,TR,1568783354,87,41.21,36.97,57.2,3.36
542,nago,75,IT,1568783354,94,45.88,10.89,71.01,3.36
543,naryan-mar,34,RU,1568783354,78,67.67,53.09,40.37,7.92
544,adrar,0,DZ,1568783354,17,27.87,-0.29,77.0,8.05
545,siocon,98,PH,1568783354,58,11.03,124.04,88.43,11.12
546,gamba,99,CN,1568783355,53,28.28,88.52,48.29,11.39
547,porto de moz,45,BR,1568783355,97,-1.75,-52.24,72.23,3.09
548,thoen,0,TH,1568783355,47,17.61,99.22,90.77,4.36
549,naze,100,NG,1568783355,96,5.43,7.07,73.49,1.95
550,punta alta,90,AR,1568783355,88,-27.46,-55.82,62.6,2.24
